DATE,DEXCHUS
10/14/13,.
10/15/13,6.1026
10/16/13,6.0996
10/17/13,6.098
10/18/13,6.0966
10/21/13,6.0924
10/22/13,6.0925
10/23/13,6.0833
10/24/13,6.0815
10/25/13,6.0838
10/28/13,6.0853
10/29/13,6.0897
10/30/13,6.0936
10/31/13,6.0943
11/1/13,6.0993
11/4/13,6.098
11/5/13,6.0966
11/6/13,6.0925
11/7/13,6.0906
11/8/13,6.0903
11/11/13,.
11/12/13,6.0917
11/13/13,6.0926
11/14/13,6.092
11/15/13,6.092
11/18/13,6.0918
11/19/13,6.0924
11/20/13,6.0925
11/21/13,6.0914
11/22/13,6.0935
11/25/13,6.0916
11/26/13,6.0925
11/27/13,6.0922
11/29/13,6.0922
12/2/13,6.0927
12/3/13,6.0914
12/4/13,6.0913
12/5/13,6.0903
12/6/13,6.0815
12/9/13,6.0643
12/10/13,6.0705
12/11/13,6.0712
12/12/13,6.071
12/13/13,6.071
12/16/13,6.0713
12/17/13,6.0707
12/18/13,6.0713
12/19/13,6.0711
12/20/13,6.0711
12/23/13,6.0697
12/24/13,6.0712
12/26/13,6.0744
12/27/13,6.0684
12/30/13,6.0617
12/31/13,6.0537
1/2/14,6.0504
1/3/14,6.0505
1/6/14,6.0524
1/7/14,6.0507
1/8/14,6.051
1/9/14,6.054
1/10/14,6.0519
1/13/14,6.0432
1/14/14,6.0402
1/15/14,6.0459
1/16/14,6.0555
1/17/14,6.05
1/21/14,6.0503
1/22/14,6.0508
1/23/14,6.0515
1/24/14,6.0486
1/27/14,6.0478
1/28/14,6.0506
1/29/14,6.0554
1/30/14,6.06
1/31/14,6.059
2/3/14,6.06
2/4/14,6.06
2/5/14,6.06
2/6/14,6.06
2/7/14,6.0629
2/10/14,6.0591
2/11/14,6.0601
2/12/14,6.0614
2/13/14,6.0631
2/14/14,6.0666
2/18/14,6.0671
2/19/14,6.0762
2/20/14,6.0832
